rank;word;freq
15;a;21889251
15;he;6469768
25;but;4603799
35;my;3107804
45;if;2710989
55;just;2352138
65;people;1784509
75;think;1493360
85;because;1346956
95;two;1141705
105;very;1038312
115;should;921238
125;work;813563
135;day;745652
145;oh;687523
155;use;578271
165;lot;535976
175;mr;514094
185;part;485751
195;without;444532
205;okay;427310
215;end;413640
225;enough;396605
235;once;374966
245;done;356752
255;number;341916
265;trying;329076
275;room;323298
285;having;318644
295;black;310554
305;united;300092
315;social;290452
325;read;282747
335;saying;274341
345;among;267844
355;study;261496
365;history;253704
375;kids;244758
385;sorry;237629
395;TRUE;233940
405;heard;230159
415;pay;223592
425;lost;219171
435;seems;214690
445;door;210291
455;thanks;204900
465;girl;198734
475;clear;195945
485;season;191277
495;security;188741
505;federal;185072
515;military;180732
525;south;175902
535;couple;170729
545;watch;167009
555;tried;163851
565;field;161428
575;became;158671
585;meet;156088
595;rights;153285
605;recent;151685
615;month;149669
625;held;146539
635;cost;144218
645;common;141906
655;land;139516
665;further;137949
675;difficult;136621
685;books;134900
695;video;133137
705;individual;131162
715;writing;129466
725;create;128182
735;board;126621
745;color;124933
755;significant;123117
765;rate;121972
775;simple;120790
785;race;119259
795;decided;118388
805;difference;116108
815;knowledge;115218
825;miss;114110
835;changed;112829
845;won;111523
855;mark;110535
865;growth;109172
875;piece;107778
885;doctor;106766
895;clearly;106055
905;design;104894
915;boys;103690
925;herself;102310
935;texas;100975
945;sleep;100056
955;romney;98987
965;married;98360
975;happens;97452
985;event;96286
995;passed;95173
1005;showed;94182
1015;address;93094
1025;built;92481
1035;jesus;91723
1045;forces;91308
1055;ball;90567
1065;arms;90154
1075;organization;89126
1085;environment;88368
1095;worry;88038
1105;november;87176
1115;fair;86564
1125;obviously;85464
1135;caught;84874
1145;individuals;84259
1155;stood;83875
1165;television;82707
1175;beat;82072
1185;eventually;81511
1195;player;81001
1205;interview;80366
1215;developed;79847
1225;income;79383
1235;la;78376
1245;contact;78026
1255;anybody;77252
1265;september;76631
1275;anymore;76147
1285;fell;75750
1295;tough;75317
1305;finding;74643
1315;described;74224
1325;damn;73726
1335;pull;72907
1345;additional;72551
1355;enjoy;71921
1365;jim;71381
1375;taxes;70273
1385;direct;69902
1395;patient;69456
1405;cars;69175
1415;senator;68626
1425;correct;68322
1435;screen;67837
1445;features;67505
1455;sold;67208
1465;stupid;66726
1475;sweet;66147
1485;negative;65804
1495;released;65526
1505;benefit;65148
1515;runs;64665
1525;regular;64397
1535;believed;63962
1545;aware;63512
1555;editor;63061
1565;block;62529
1575;basically;62127
1585;sky;61595
1595;threat;61014
1605;easier;60667
1615;william;60247
1625;millions;60018
1635;annual;59672
1645;warm;59469
1655;moral;59101
1665;active;58859
1675;improve;58392
1685;institute;58192
1695;master;57946
1705;projects;57710
1715;smaller;57399
1725;solution;56939
1735;suggested;56627
1745;factor;56371
1755;commission;56080
1765;killing;55585
1775;prevent;55091
1785;experiences;54933
1795;ourselves;54725
1805;file;54354
1815;streets;54014
1825;perspective;53634
1835;suggests;53389
1845;empty;53021
1855;signed;52698
1865;practices;52294
1875;japan;52047
1885;desire;51859
1895;experts;51528
1905;suit;51283
1915;wake;50890
1925;bright;50792
1935;indian;50633
1945;rain;50323
1955;victims;50089
1965;begins;49863
1975;neck;49609
1985;grade;49468
1995;lights;49245
2005;specifically;48953
2015;proposed;48566
2025;henry;48248
2035;figures;48016
2045;pointed;47696
2055;dear;47261
2065;supply;46795
2075;operations;46654
2085;answers;46425
2095;housing;46202
2105;committed;45721
2115;reaction;45544
2125;everywhere;45285
2135;communication;44956
2145;marketing;44345
2155;treat;44065
2165;occurred;43749
2175;dealing;43454
2185;silver;43234
2195;remained;42963
2205;fashion;42746
2215;laugh;42571
2225;sight;42358
2235;pattern;42263
2245;proper;41829
2255;regional;41670
2265;contrast;41534
2275;ocean;41411
